Ref,Val,Package,PosX,PosY,Rot,Side
C1,2.2u,1206,124.184,-81.28,0,top
C2,1u,805,124.68,-83.82,180,top
C3,1u,805,123.41,-73.66,0,top
C4,10u,1206,123.72,-76.2,0,top
C5,10u,1206,123.72,-78.74,0,top
C6,0.1u,805,125.73,-90.585,90,top
C7,1u,805,129.32,-92.075,0,top
C8,0.1u,805,134.62,-94.395,90,top
C9,0.1u,805,137.16,-94.395,90,top
C10,0.1u,805,139.7,-93.76,270,top
C11,1u,805,142.24,-92.075,90,top
C12,10u,1206,137.055,-82.55,180,top
C13,4.7u,1206,137.055,-85.725,180,top
C14,22p,805,141.605,-82.55,90,top
D1,,SSB43L-E3&slash_52T,116.84,-82.804,180,top
D2,RED,LED_0603_1608Metric,122.7075,-92.075,180,top
D3,GREEN,LED_0603_1608Metric,122.7075,-94.615,180,top
D4,,SOT-23-3,134.94,-89.755,90,top
L1,10uH,NR8040T100M,140.07465,-74.93,0,top
Q1,DMN3404L-7,SOT-23-3,131.86,-73.98,0,top
Q2,,SOT-23-3,132.4,-78.96,90,top
R1,2,805,118.076,-86.614,0,top
R2,39.2k,805,118.33,-89.535,0,top
R3,10k,805,122.555,-89.535,0,top
R4,10,805,124.68,-86.36,0,top
R5,2k,805,118.33,-92.075,180,top
R6,2k,805,118.33,-94.615,180,top
R7,2,805,128.27,-78.96,270,top
R8,2.15k,805,130.082,-94.234,180,top
R9,6.04k,805,130.082,-96.266,0,top
R10,10k NTC,805,130.082,-98.298,0,top
R11,0.02,1206,144.145,-82.655,90,top
R12,100k,805,141.605,-87.215,90,top
R13,100k,805,144.145,-88.045,270,top
U1,bq24650,BQ24650RVAT,130.556,-84.582,0,top